Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,Rt11 .5 mi S of 58 intersection (NE09.site01)_09,90,-98.5542,41.1255,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Rt11 .5 mi S of 58 intersection (NE09.site01)_09,90,-98.5542,41.1255,Bombus impatiens,1,1.8888888888888888
Cameron et al. 2011,Hymenoptera,Hwy290 Elgin (TX09.site03)_09,90,-97.38469,30.34797,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy290 Elgin (TX09.site03)_09,90,-97.38469,30.34797,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,nr Lake Thunderbird SP (OK09.site02)_09,90,-97.2653,35.25402,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,nr Lake Thunderbird SP (OK09.site02)_09,90,-97.2653,35.25402,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Branched Oak Rd + Hwy 79 (NE09.site03)_09,90,-96.79512,40.97433,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Branched Oak Rd + Hwy 79 (NE09.site03)_09,90,-96.79512,40.97433,Bombus impatiens,7,13.222222222222221
Cameron et al. 2011,Hymenoptera,Council Grove Lake (KS09.site03)_09,90,-96.49283,38.68715,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Council Grove Lake (KS09.site03)_09,90,-96.49283,38.68715,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 268, turn into Pomona St Park (KS09.site02)_09",90,-95.60114,38.63811,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 268, turn into Pomona St Park (KS09.site02)_09",90,-95.60114,38.63811,Bombus impatiens,2,3.7777777777777777
Cameron et al. 2011,Hymenoptera,South Hillside SW of Denison (IA09.site01)_09,90,-95.39279,41.99105,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,South Hillside SW of Denison (IA09.site01)_09,90,-95.39279,41.99105,Bombus impatiens,35,66.11111111111111
Cameron et al. 2011,Hymenoptera,"Corner of US 59, 2 mi S of US 56 (KS09.site01)_09",90,-95.26876,38.75328,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Corner of US 59, 2 mi S of US 56 (KS09.site01)_09",90,-95.26876,38.75328,Bombus impatiens,1,1.8888888888888888
Cameron et al. 2011,Hymenoptera,Galveston Island near Toll Bridge (TX08.site05)_08,90,-95.116798,29.08681,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Galveston Island near Toll Bridge (TX08.site05)_08,90,-95.116798,29.08681,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Big Sandy Creek, Big Thicket National Preserve (TX08.site04)_08",90,-94.71843,30.67105,Bombus bifarius,0,0
